"","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"101",1.29166950505758e-05,0.00011666727566897,0.000311278501736918,0.000645628100744266,0.0011761255898273,0.00197085868263758,0.00310929796241068,0.00469456916087303,0.00684122874476056,0.00970233416655091,0.0134486918178089,0.0182770585122052,0.0243425643905933,0.0318268572880574,0.0408811986881522,0.0516637526997994,0.0642107643946839,0.0786060402932405,0.0948614233008855
"102",8.93503019549609e-06,7.61045460465122e-05,0.000192541536443756,0.000380419645769585,0.000661880347922569,0.00106011819028393,0.00159847641916448,0.00230633116488916,0.00321391386996466,0.0043641724713181,0.00580295169752359,0.0075816872067125,0.00973314162002535,0.0122984341464259,0.0153087739464147,0.0188013490510695,0.0227813105458879,0.0272798379921837,0.032317541926522
"103",8.60867140605875e-06,7.33535046727358e-05,0.000185309628527289,0.000365137697009896,0.000633026571908935,0.00100962913682635,0.00151513402701797,0.00217476910986385,0.0030139150193435,0.00406894494498969,0.00537773175418849,0.00698170160129713,0.00890375821405174,0.011172732879629,0.0138071215985643,0.0168293778708101,0.0202335563406016,0.0240360676551502,0.028244351048637
"104",1.18585677007088e-05,0.000106744005615642,0.000283408919736297,0.000584582626071658,0.00105881015297652,0.00176385431441236,0.00276601452052494,0.00415045844216043,0.00600992421897593,0.00846752693322263,0.0116579336025103,0.015734296526606,0.0208124297959974,0.0270304700302107,0.034502912307522,0.043353218320624,0.0536096599518229,0.0653457205366723,0.0785829242512448
"105",9.0863637129154e-06,7.76807816417956e-05,0.000196866516289863,0.000389021486334786,0.000676110860205754,0.00108063020331217,0.0016245433665063,0.00233513105417619,0.0032396940383696,0.00437725182576388,0.00578835534271407,0.00751729298875645,0.00958821217643,0.0120313518045782,0.0148654250805166,0.0181129952901893,0.0217658073595042,0.0258394752237828,0.0303399663940616
"106",1.02182349254314e-05,8.7514661649344e-05,0.000222259321159698,0.000440263120810326,0.00076727765206298,0.00123017089970931,0.00185572018714997,0.00267723304997421,0.00372833837227215,0.00505659770964437,0.00671200056817055,0.00874996212929171,0.0112035009241456,0.0141142594667678,0.0175116456695013,0.0214309564396819,0.0258710806441356,0.030860103138318,0.0364146627664501
"201",3.34112948026699e-05,0.000284624457702824,0.000724475794733585,0.00144723189966126,0.00255655146718987,0.0041730686900619,0.00643282826086891,0.00951085066884186,0.0135938014266778,0.0189238526195382,0.0257462988402354,0.0343139493085291,0.0447658937010854,0.0572575097774818,0.0718735413216168,0.0887040384717411,0.107660317811808,0.128754577484423,0.151923467237049
"202",2.84499484605435e-05,0.00024333227697655,0.00061951870125341,0.00123420707310141,0.00216938393268753,0.003517220955188,0.0053782041938003,0.00788075382330604,0.0111598248008015,0.015393801044654,0.02076376827863,0.0274590175807636,0.0355844719533256,0.0452638324816814,0.0565722206523476,0.0695953334160876,0.0842869554442763,0.100684929184326,0.118774120544584
"203",2.2485692258731e-05,0.000190976475538323,0.000481513227529673,0.00094788491618167,0.00164305430720062,0.00262192299396483,0.00393930005562051,0.00566433500913689,0.00786705198579034,0.0106449853419836,0.0140958533408714,0.0183205449765962,0.0233637336171009,0.0292785166999312,0.0360845677596317,0.0438062083011254,0.0523912052192982,0.0618416900822446,0.0721347252923339
"204",3.2610324386215e-05,0.000289917682190068,0.000763413361787072,0.00156725494073863,0.00283288099435335,0.004718782197479,0.00740837460872352,0.0111344152112553,0.0161393359126273,0.0227203801055213,0.0311602939483648,0.0417340661034957,0.054569519375782,0.0698205136241865,0.0875664286087123,0.107903926269583,0.130720250664086,0.156026207382486,0.183738981685151
"205",2.54676415650329e-05,0.00021771165944466,0.000553178172253578,0.00109878576111224,0.00192459185914399,0.00310879516782725,0.00473701331307635,0.00692112107089899,0.00978227007497002,0.0134837122915307,0.0181935855950402,0.0240851135698199,0.0312483514897558,0.0397752559033246,0.0496988896720053,0.0610481305266541,0.0737297954407441,0.0877238459031744,0.102969459707054
"206",2.32459955997563e-05,0.000195548083547915,0.00048947613641557,0.000958184716206412,0.00165333927086458,0.00262782131456688,0.00393375699845857,0.00563696665828371,0.00780353592820382,0.0105254595267365,0.0138926714371592,0.0179950480729348,0.0228646149091374,0.0285390485149424,0.0350220835489261,0.0423209817643375,0.0503710006957113,0.0591600481757901,0.068653996525707
"207",2.73316257296509e-05,0.000234255902952961,0.000595933503835568,0.00118346884150865,0.00206967705484484,0.00333345389877369,0.00505789759615735,0.00734944905267781,0.0103201125078986,0.0141232205353366,0.0189173436986057,0.0248701521572602,0.0320726753152731,0.0406270411745303,0.0505846058964972,0.0619991647752887,0.0748055837864432,0.0890132234504483,0.10458911119124
